init init 45.64775536362783
0 0 46.86849574266768
0 1 55.27390362254685
0 2 67.89574877163012
0 3 76.62923062837628
1 0 48.8155766472363
1 1 64.72975859859002
1 2 78.14325388348055
1 3 93.54838709677423
2 0 52.44148075807958
2 1 68.72981963560905
2 2 87.71538438062692
2 3 105.59038056581291
3 0 53.35428937650653
3 1 72.6340525528735
3 2 91.29367961668757
3 3 111.48106326486997
4 0 50.60670796838254
4 1 72.04504531998668
4 2 91.65532395397814
4 3 108.02819910275564
5 0 50.91799676503772
5 1 67.45658742027041
5 2 84.18774987029651
5 3 99.51078829309968
6 0 47.65892513809602
6 1 61.53752250740058
6 2 71.70567949461362
6 3 85.49699392681667
7 0 46.49037141026009
7 1 52.12927640614004
7 2 60.413830988494254
7 3 67.0494705038607
