#anche n2  mm 
#position repetition offset(mV) moyenne(mV) moyenne(N) 
0 0 41.6074 51.3028 0.3287
0 1 40.9876 49.0524 0.2734
0 2 43.1358 49.0045 0.1989
0 3 41.4005 48.431 0.2383
0 4 42.8004 50.3055 0.2544
0 5 41.3907 49.8318 0.2861
0 6 42.0524 47.5423 0.1861
0 7 43.6634 49.668 0.2035
0 8 41.1103 48.1121 0.2374
0 9 43.4962 48.0181 0.1533
1 0 42.2874 64.5775 0.7556
1 1 42.1088 64.5476 0.7606
1 2 41.9663 64.9055 0.7776
1 3 41.9907 64.1731 0.7519
1 4 40.2206 63.7263 0.7968
1 5 40.2313 64.4636 0.8214
1 6 42.2074 65.4884 0.7892
1 7 42.486 64.2454 0.7376
1 8 40.0809 64.2698 0.82
1 9 41.568 63.6946 0.7501
2 0 42.0002 76.7321 1.1774
2 1 39.9915 74.9303 1.1844
2 2 41.6062 75.5702 1.1513
2 3 39.5917 74.0181 1.167
2 4 41.1814 75.0151 1.1469
2 5 41.7493 72.389 1.0386
2 6 41.3062 74.5543 1.1271
2 7 42.6771 74.8555 1.0908
2 8 41.7542 74.2167 1.1004
2 9 42.0521 75.385 1.1299
