#y  z  offset moyenne_brute(N) moyenne(N) 
0.0 0 3.307 0 0
0.0 0.05 3.307 6.47 0.01
0.0 0.1 3.307 17.678 0.055
0.0 0.15 3.307 51.539 0.173
0.0 0.2 3.307 88.864 0.288
0.0 0.25 3.307 119.693 0.422
0.0 0.3 3.307 151.177 0.551
0.0 0.35 3.307 193.212 0.679
0.0 0.4 3.307 234.189 0.806
0.0 0.45 3.307 271.384 0.941
0.0 0.5 3.307 308.875 1.074
0.0 0.55 3.307 355.583 1.228
0.0 0.6 3.307 397.405 1.376
0.0 0.65 3.307 436.575 1.519
0.0 0.7 3.307 475.935 1.646
0.0 0.75 3.307 510.333 1.784
0.0 0.8 3.307 552.373 1.924
0.0 0.85 3.307 590.686 2.063
0.0 0.9 3.307 631.864 2.191
0.0 0.95 3.307 666.327 2.324
0.0 1.0 3.307 707.328 2.468
0.944 0 7.853 0 0
0.944 0.05 7.853 5.964 -0.001
0.944 0.1 7.853 20.302 0.059
0.944 0.15 7.853 55.942 0.162
0.944 0.2 7.853 93.982 0.299
0.944 0.25 7.853 131.093 0.418
0.944 0.3 7.853 164.027 0.554
0.944 0.35 7.853 201.011 0.675
0.944 0.4 7.853 243.006 0.811
0.944 0.45 7.853 279.208 0.942
0.944 0.5 7.853 314.352 1.075
0.944 0.55 7.853 356.428 1.227
0.944 0.6 7.853 399.933 1.356
0.944 0.65 7.853 435.673 1.497
0.944 0.7 7.853 474.466 1.64
0.944 0.75 7.853 512.524 1.761
0.944 0.8 7.853 545.757 1.892
0.944 0.85 7.853 582.71 2.016
0.944 0.9 7.853 623.144 2.148
0.944 0.95 7.853 659.193 2.285
0.944 1.0 7.853 698.179 2.404
1.887 0 9.796 0 0
1.887 0.05 9.796 7.976 -0.005
1.887 0.1 9.796 6.256 -0.011
1.887 0.15 9.796 33.533 0.085
1.887 0.2 9.796 70.158 0.213
1.887 0.25 9.796 106.291 0.346
1.887 0.3 9.796 142.906 0.466
1.887 0.35 9.796 178.735 0.599
1.887 0.4 9.796 218.236 0.715
1.887 0.45 9.796 252.103 0.838
1.887 0.5 9.796 285.675 0.966
1.887 0.55 9.796 323.075 1.086
1.887 0.6 9.796 359.692 1.227
1.887 0.65 9.796 395.248 1.37
1.887 0.7 9.796 440.259 1.507
1.887 0.75 9.796 475.023 1.629
1.887 0.8 9.796 513.587 1.759
1.887 0.85 9.796 545.183 1.888
1.887 0.9 9.796 584.874 2.004
1.887 0.95 9.796 619.261 2.145
1.887 1.0 9.796 653.941 2.258
2.831 0 9.211 0 0
2.831 0.05 9.211 7.238 0.008
2.831 0.1 9.211 9.653 0.006
2.831 0.15 9.211 22.535 0.048
2.831 0.2 9.211 57.995 0.152
2.831 0.25 9.211 85.337 0.269
2.831 0.3 9.211 120.084 0.374
2.831 0.35 9.211 149.087 0.491
2.831 0.4 9.211 180.389 0.616
2.831 0.45 9.211 221.469 0.734
2.831 0.5 9.211 252.436 0.862
2.831 0.55 9.211 290.638 0.966
2.831 0.6 9.211 324.542 1.08
2.831 0.65 9.211 353.343 1.212
2.831 0.7 9.211 393.018 1.339
2.831 0.75 9.211 423.221 1.466
2.831 0.8 9.211 464.806 1.584
2.831 0.85 9.211 498.611 1.712
2.831 0.9 9.211 530.911 1.825
2.831 0.95 9.211 562.148 1.94
2.831 1.0 9.211 598.092 2.056
3.775 0 14.152 0 0
3.775 0.05 14.152 13.333 0.003
3.775 0.1 14.152 12.384 -0.004
3.775 0.15 14.152 14.505 0.002
3.775 0.2 14.152 38.733 0.087
3.775 0.25 14.152 64.622 0.167
3.775 0.3 14.152 94.272 0.283
3.775 0.35 14.152 120.508 0.365
3.775 0.4 14.152 144.436 0.454
3.775 0.45 14.152 173.469 0.576
3.775 0.5 14.152 203.919 0.673
3.775 0.55 14.152 234.281 0.77
3.775 0.6 14.152 263.263 0.883
3.775 0.65 14.152 292.128 0.979
3.775 0.7 14.152 325.481 1.086
3.775 0.75 14.152 352.243 1.176
3.775 0.8 14.152 384.662 1.31
3.775 0.85 14.152 413.96 1.396
3.775 0.9 14.152 445.649 1.517
3.775 0.95 14.152 472.55 1.6
3.775 1.0 14.152 499.152 1.706
4.718 0 8.543 0 0
4.718 0.05 8.543 8.367 0.006
4.718 0.1 8.543 7.364 -0.007
4.718 0.15 8.543 9.112 0.002
4.718 0.2 8.543 19.863 0.048
4.718 0.25 8.543 40.598 0.117
4.718 0.3 8.543 62.658 0.182
4.718 0.35 8.543 82.946 0.258
4.718 0.4 8.543 107.82 0.339
4.718 0.45 8.543 136.598 0.43
4.718 0.5 8.543 156.65 0.521
4.718 0.55 8.543 182.5 0.608
4.718 0.6 8.543 202.862 0.693
4.718 0.65 8.543 229.955 0.777
4.718 0.7 8.543 250.963 0.845
4.718 0.75 8.543 277.333 0.936
4.718 0.8 8.543 300.075 1.005
4.718 0.85 8.543 322.268 1.083
4.718 0.9 8.543 347.057 1.175
4.718 0.95 8.543 377.389 1.27
4.718 1.0 8.543 394.369 1.368
5.662 0 16.226 0 0
5.662 0.05 16.226 12.842 -0.009
5.662 0.1 16.226 12.632 -0.007
5.662 0.15 16.226 11.707 -0.012
5.662 0.2 16.226 18.163 0.001
5.662 0.25 16.226 30.514 0.057
5.662 0.3 16.226 49.407 0.121
5.662 0.35 16.226 64.08 0.167
5.662 0.4 16.226 79.247 0.22
5.662 0.45 16.226 95.371 0.289
5.662 0.5 16.226 115.704 0.352
5.662 0.55 16.226 129.172 0.395
5.662 0.6 16.226 149.464 0.466
5.662 0.65 16.226 170.101 0.53
5.662 0.7 16.226 188.017 0.597
5.662 0.75 16.226 204.214 0.663
5.662 0.8 16.226 222.666 0.715
5.662 0.85 16.226 236.138 0.764
5.662 0.9 16.226 251.169 0.832
5.662 0.95 16.226 272.829 0.893
5.662 1.0 16.226 284.504 0.954
-0.944 0 15.194 0 0
-0.944 0.05 15.194 13.994 -0.007
-0.944 0.1 15.194 37.249 0.08
-0.944 0.15 15.194 70.914 0.181
-0.944 0.2 15.194 99.425 0.306
-0.944 0.25 15.194 137.207 0.426
-0.944 0.3 15.194 175.206 0.563
-0.944 0.35 15.194 208.975 0.684
-0.944 0.4 15.194 245.648 0.821
-0.944 0.45 15.194 282.719 0.934
-0.944 0.5 15.194 320.366 1.073
-0.944 0.55 15.194 363.072 1.222
-0.944 0.6 15.194 401.688 1.355
-0.944 0.65 15.194 440.354 1.491
-0.944 0.7 15.194 473.536 1.613
-0.944 0.75 15.194 511.89 1.749
-0.944 0.8 15.194 551.64 1.89
-0.944 0.85 15.194 589.868 1.999
-0.944 0.9 15.194 622.968 2.125
-0.944 0.95 15.194 661.173 2.264
-0.944 1.0 15.194 700.868 2.403
-1.887 0 11.899 0 0
-1.887 0.05 11.899 12.772 0.007
-1.887 0.1 11.899 68.677 0.08
-1.887 0.15 11.899 63.958 0.187
-1.887 0.2 11.899 102.279 0.317
-1.887 0.25 11.899 133.844 0.429
-1.887 0.3 11.899 170.569 0.551
-1.887 0.35 11.899 203.963 0.673
-1.887 0.4 11.899 237.627 0.791
-1.887 0.45 11.899 271.679 0.905
-1.887 0.5 11.899 309.392 1.032
-1.887 0.55 11.899 344.136 1.174
-1.887 0.6 11.899 380.83 1.298
-1.887 0.65 11.899 420.343 1.429
-1.887 0.7 11.899 458.071 1.561
-1.887 0.75 11.899 493.288 1.695
-1.887 0.8 11.899 532.254 1.827
-1.887 0.85 11.899 567.426 1.946
-1.887 0.9 11.899 601.66 2.051
-1.887 0.95 11.899 634.67 2.192
-1.887 1.0 11.899 670.584 2.306
-2.831 0 15.113 0 0
-2.831 0.05 15.113 16.652 -0.005
-2.831 0.1 15.113 35.937 0.069
-2.831 0.15 15.113 64.289 0.175
-2.831 0.2 15.113 93.974 0.27
-2.831 0.25 15.113 121.218 0.374
-2.831 0.3 15.113 152.568 0.472
-2.831 0.35 15.113 181.268 0.585
-2.831 0.4 15.113 219.056 0.707
-2.831 0.45 15.113 246.765 0.805
-2.831 0.5 15.113 277.84 0.92
-2.831 0.55 15.113 312.75 1.028
-2.831 0.6 15.113 345.226 1.162
-2.831 0.65 15.113 380.656 1.298
-2.831 0.7 15.113 411.342 1.386
-2.831 0.75 15.113 441.791 1.506
-2.831 0.8 15.113 478.293 1.626
-2.831 0.85 15.113 510.812 1.744
-2.831 0.9 15.113 547.102 1.855
-2.831 0.95 15.113 574.64 1.958
-2.831 1.0 15.113 610.973 2.088
-3.775 0 16.342 0 0
-3.775 0.05 16.342 19.362 0.001
-3.775 0.1 16.342 43.103 0.094
-3.775 0.15 16.342 64.057 0.161
-3.775 0.2 16.342 89.445 0.251
-3.775 0.25 16.342 111.145 0.337
-3.775 0.3 16.342 136.968 0.411
-3.775 0.35 16.342 160.762 0.505
-3.775 0.4 16.342 187.86 0.604
-3.775 0.45 16.342 215.295 0.688
-3.775 0.5 16.342 241.448 0.775
-3.775 0.55 16.342 271.541 0.887
-3.775 0.6 16.342 297.036 0.994
-3.775 0.65 16.342 330.47 1.09
-3.775 0.7 16.342 356.029 1.185
-3.775 0.75 16.342 384.194 1.289
-3.775 0.8 16.342 412.391 1.392
-3.775 0.85 16.342 440.73 1.496
-3.775 0.9 16.342 468.795 1.594
-3.775 0.95 16.342 501.538 1.673
-3.775 1.0 16.342 530.69 1.777
-4.718 0 16.586 0 0
-4.718 0.05 16.586 24.988 0.035
-4.718 0.1 16.586 45.838 0.105
-4.718 0.15 16.586 66.999 0.176
-4.718 0.2 16.586 86.393 0.248
-4.718 0.25 16.586 106.791 0.297
-4.718 0.3 16.586 126.664 0.386
-4.718 0.35 16.586 152.316 0.449
-4.718 0.4 16.586 167.412 0.538
-4.718 0.45 16.586 190.228 0.618
-4.718 0.5 16.586 214.008 0.686
-4.718 0.55 16.586 232.243 0.753
-4.718 0.6 16.586 255.758 0.837
-4.718 0.65 16.586 279.833 0.917
-4.718 0.7 16.586 303.303 1.014
-4.718 0.75 16.586 329.601 1.082
-4.718 0.8 16.586 352.346 1.168
-4.718 0.85 16.586 373.231 1.246
-4.718 0.9 16.586 395.591 1.331
-4.718 0.95 16.586 415.823 1.392
-4.718 1.0 16.586 442.716 1.48
-5.662 0 17.327 0 0
-5.662 0.05 17.327 26.814 0.029
-5.662 0.1 17.327 38.127 0.076
-5.662 0.15 17.327 53.304 0.117
-5.662 0.2 17.327 68.56 0.174
-5.662 0.25 17.327 82.197 0.238
-5.662 0.3 17.327 103.865 0.283
-5.662 0.35 17.327 117.967 0.358
-5.662 0.4 17.327 132.65 0.415
-5.662 0.45 17.327 150.743 0.476
-5.662 0.5 17.327 166.07 0.526
-5.662 0.55 17.327 185.196 0.578
-5.662 0.6 17.327 198.347 0.651
-5.662 0.65 17.327 217.95 0.705
-5.662 0.7 17.327 234.255 0.753
-5.662 0.75 17.327 248.99 0.811
-5.662 0.8 17.327 266.616 0.872
-5.662 0.85 17.327 282.057 0.915
-5.662 0.9 17.327 297.261 0.984
-5.662 0.95 17.327 314.736 1.046
-5.662 1.0 17.327 334.465 1.12
