force_anche distance_pointe_anche y z moyenne_brute moyenne(N) 
force:3 offsete:217.24295785393798 y0:13.4845425
3 3 0.0 0 217.02871791741654 0 
3 3 0.0 0.433 431.2668233283481 0.7243273747282104
3 3 0.0 0.867 667.2368541520408 1.563079885143326
3 3 0.0 1.3 915.5275124362917 2.438322895467677
3 3 1.565 0 218.68831446272122 0 
3 3 1.565 0.433 406.5144810327464 0.6628909380907949
3 3 1.565 0.867 639.7747734000662 1.4776901664543796
3 3 1.565 1.3 884.2957853938418 2.3218610508325903
3 3 3.129 0 217.67326883754953 0 
3 3 3.129 0.433 362.26905117954163 0.5017971118781832
3 3 3.129 0.867 555.7594531083098 1.1697830348141223
3 3 3.129 1.3 755.1762443922238 1.8802368022170382
3 3 4.694 0 214.9797051911977 0 
3 3 4.694 0.433 307.97936948759354 0.30128300884662146
3 3 4.694 0.867 444.67757194738493 0.7953551899402429
3 3 4.694 1.3 584.0238654744118 1.2830656003392367
3 3 6.258 0 216.24256111331465 0 
3 3 6.258 0.433 249.67986083559776 0.10681264151620663
3 3 6.258 0.867 321.31382183294124 0.37081488168187987
3 3 6.258 1.3 387.8347117526787 0.5980471366410071
3 3 -1.565 0 219.39909054841675 0 
3 3 -1.565 0.433 426.0005493331703 0.7500443053799839
3 3 -1.565 0.867 645.1951658680995 1.497861294980664
3 3 -1.565 1.3 880.8944975127414 2.30765655861508
3 3 -3.129 0 219.52238532670006 0 
3 3 -3.129 0.433 392.296212652975 0.6188007939095783
3 3 -3.129 0.867 582.6862392040786 1.2719515087655076
3 3 -3.129 1.3 772.3926511429175 1.9440472576442245
3 3 -4.694 0 219.35483870967695 0 
3 3 -4.694 0.433 353.8200018311109 0.48476885441547113
3 3 -4.694 0.867 493.66893520920473 0.9553696246598155
3 3 -4.694 1.3 621.247291482284 1.4172003390231624
3 3 -6.258 0 220.95522934659823 0 
3 3 -6.258 0.433 295.6483657338172 0.26377308363838686
3 3 -6.258 0.867 369.41679128391456 0.5190416759694617
3 3 -6.258 1.3 425.67918942838764 0.7850859792077919
