force_anche distance_pointe_anche y z moyenne_brute moyenne(N) 
offset: 
212.05145420697573  
y_centre:
13.722858
3 3 0.0 0 213.56608783226963 0 
3 3 0.0 0.433 321.586046937467 0.30049201271547665
3 3 0.0 0.867 514.9464400158696 0.8326203040797463
3 3 0.0 1.3 720.4821924497234 1.390232064636095
3 3 1.571 0 214.03607287820003 0 
3 3 1.571 0.433 323.23068941312835 0.30162569692794733
3 3 1.571 0.867 517.3827326273384 0.8384100108230822
3 3 1.571 1.3 713.2834864345249 1.3680612106057195
3 3 3.142 0 215.75182348094071 0 
3 3 3.142 0.433 310.0766014587843 0.267936072251391
3 3 3.142 0.867 482.31330301828154 0.7300488352246286
3 3 3.142 1.3 642.9410687582002 1.178631506675465
3 3 4.713 0 215.7762382885214 0 
3 3 4.713 0.433 278.17316202276675 0.18121596809071017
3 3 4.713 0.867 393.0994598223818 0.4951639533013165
3 3 4.713 1.3 510.51911984618675 0.8251511275595413
3 3 6.285 0 217.22769859919993 0 
3 3 6.285 0.433 238.3056123538926 0.07285310796890843
3 3 6.285 0.867 302.3230689413125 0.25497956092862073
3 3 6.285 1.3 365.67674794763116 0.42888722447875444
3 3 -1.571 0 216.67561876277907 0 
3 3 -1.571 0.433 333.49101229895865 0.3326074503243467
3 3 -1.571 0.867 515.6315805536058 0.8392143707212314
3 3 -1.571 1.3 700.1916562395104 1.3341365949222657
3 3 -3.142 0 215.03982665486586 0 
3 3 -3.142 0.433 319.52146977141564 0.2916145746772521
3 3 -3.142 0.867 474.14380321665175 0.7252529972559731
3 3 -3.142 1.3 626.1238441114535 1.1469498338284272
3 3 -4.713 0 213.43729972228087 0 
3 3 -4.713 0.433 291.36326181829276 0.21849025844949554
3 3 -4.713 0.867 396.76259651478637 0.5174232448074062
3 3 -4.713 1.3 501.701712088382 0.8053975645319846
3 3 -6.285 0 214.61195715201234 0 
3 3 -6.285 0.433 257.473067415388 0.12591138208825686
3 3 -6.285 0.867 315.05417035431907 0.2919994882620218
3 3 -6.285 1.3 371.34281441694463 0.44008509342734947
