#anche n1  mm 
#position repetition offset(mV) moyenne(mV) moyenne(N) 
0 0 40.5622 45.5016 0.1674
0 1 40.8133 46.5975 0.1961
0 2 42.2788 46.0707 0.1285
0 3 40.6571 48.0535 0.2507
0 4 42.6518 45.7778 0.106
0 5 40.7611 45.0508 0.1454
0 6 40.9406 46.5465 0.19
0 7 41.6318 45.5702 0.1335
0 8 38.8733 45.7659 0.2336
0 9 40.5799 44.9577 0.1484
1 0 41.0614 57.2262 0.548
1 1 40.9119 56.8538 0.5404
1 2 39.5099 56.3329 0.5703
1 3 39.7562 55.3386 0.5282
1 4 41.4246 56.765 0.52
1 5 39.0396 58.0157 0.6433
1 6 40.38 56.3759 0.5422
1 7 40.7138 56.4006 0.5318
1 8 39.5163 55.7204 0.5493
1 9 39.852 56.61 0.5681
2 0 39.2175 63.3213 0.8171
2 1 38.7429 61.4939 0.7712
2 2 39.6149 61.4573 0.7404
2 3 38.8803 60.6229 0.737
2 4 40.1813 62.2776 0.749
2 5 38.3279 61.305 0.7789
2 6 41.0193 59.7021 0.6333
2 7 40.1514 61.0492 0.7084
2 8 41.2561 60.9864 0.6688
2 9 40.9977 61.3074 0.6885
