force_anche distance_pointe_anche y z moyenne_brute moyenne(N) 
force:3 offsete:217.56553849909906 y0:13.517498999999999
3 3 0.0 0 217.85882137516353 0 
3 3 0.0 0.433 429.49156163212973 0.723769474958492
3 3 0.0 0.867 662.57881405072 1.552542968187398
3 3 0.0 1.3 915.3294473097916 2.440473111854614
3 3 1.581 0 219.19797357097016 0 
3 3 1.581 0.433 407.10959196752844 0.6594825024535305
3 3 1.581 0.867 635.2174443800159 1.4621985427144062
3 3 1.581 1.3 876.2868129520547 2.307405985589911
3 3 3.163 0 219.92187261574088 0 
3 3 3.163 0.433 360.13428144169535 0.49203225967075775
3 3 3.163 0.867 549.5367290261546 1.16271559051442
3 3 3.163 1.3 753.2987456892604 1.8728705977719353
3 3 4.744 0 222.16376232184768 0 
3 3 4.744 0.433 304.7627185888239 0.30256157376993115
3 3 4.744 0.867 443.78917813653925 0.7954579891300554
3 3 4.744 1.3 586.0008545182666 1.2711612399938153
3 3 6.325 0 221.50028992583958 0 
3 3 6.325 0.433 245.75609607226824 0.09950533244026892
3 3 6.325 0.867 317.06289864803 0.35327905321946185
3 3 6.325 1.3 385.1744132816559 0.5830662963754211
3 3 -1.581 0 218.72646259956625 0 
3 3 -1.581 0.433 434.25305948057365 0.71422521267921
3 3 -1.581 0.867 641.362956633198 1.4822433139032207
3 3 -1.581 1.3 879.537949766533 2.29281920888527
3 3 -3.163 0 216.80349131748343 0 
3 3 -3.163 0.433 389.70366527298864 0.6022790366216795
3 3 -3.163 0.867 572.8391369365515 1.251415228950393
3 3 -3.163 1.3 767.1135593737596 1.9264632420615826
3 3 -4.744 0 219.8931852168335 0 
3 3 -4.744 0.433 348.1438642536699 0.4484154200926402
3 3 -4.744 0.867 484.4605853450121 0.9284619367260327
3 3 -4.744 1.3 612.882473220008 1.3962239501766658
3 3 -6.325 0 217.5649281289098 0 
3 3 -6.325 0.433 285.60777611621484 0.23798226606893472
3 3 -6.325 0.867 353.79741813409885 0.4747630666069188
3 3 -6.325 1.3 412.8254036072878 0.673083049430884
