#anche n0 pas de descente 0.3  mm 
#pos_y pos_z rep offset(mV) moyenne(mV) moyenne(N) 
0 0 0 24.0345 171.7801 5.0083
0 1 0 24.0345 414.6501 13.2412
0 2 0 24.0345 652.8956 21.3173
0 3 0 24.0345 890.8509 29.3836
0 4 0 24.0345 630.806 20.5685
0 5 0 24.0345 395.9444 12.6071
0 6 0 24.0345 163.7535 4.7362
0 0 1 27.654 163.968 4.6208
0 1 1 27.654 409.657 12.9493
0 2 1 27.654 644.2619 20.902
0 3 1 27.654 887.933 29.162
0 4 1 27.654 629.1061 20.3882
0 5 1 27.654 388.0758 12.2177
0 6 1 27.654 157.253 4.3932
0 0 2 26.7077 161.7878 4.579
0 1 2 26.7077 405.2208 12.831
0 2 2 26.7077 644.8732 20.9548
0 3 2 26.7077 888.6651 29.2189
0 4 2 26.7077 624.9477 20.2793
0 5 2 26.7077 387.2509 12.2218
0 6 2 26.7077 155.504 4.366
0 0 3 29.0704 161.2714 4.4814
0 1 3 29.0704 402.7427 12.6669
0 2 3 29.0704 644.8073 20.8724
0 3 3 29.0704 886.4183 29.0626
0 4 3 29.0704 627.6736 20.2916
0 5 3 29.0704 391.9785 12.302
0 6 3 29.0704 156.6939 4.3262
0 0 4 32.8523 157.4685 4.2243
0 1 4 32.8523 407.7422 12.7081
0 2 4 32.8523 646.1409 20.7894
0 3 4 32.8523 886.3744 28.933
0 4 4 32.8523 626.0475 20.1083
0 5 4 32.8523 390.2872 12.1164
0 6 4 32.8523 154.297 4.1168
0 0 5 32.8193 164.1823 4.453
0 1 5 32.8193 399.5734 12.4323
0 2 5 32.8193 638.5061 20.5318
0 3 5 32.8193 887.3959 28.9687
0 4 5 32.8193 624.5616 20.0591
0 5 5 32.8193 390.2014 12.1146
0 6 5 32.8193 153.2991 4.0841
0 0 6 28.4857 157.0849 4.3593
0 1 6 28.4857 405.7744 12.7894
0 2 6 28.4857 643.3949 20.8444
0 3 6 28.4857 883.8368 28.995
0 4 6 28.4857 624.8338 20.2152
0 5 6 28.4857 388.2876 12.1967
0 6 6 28.4857 153.2026 4.2277
0 0 7 30.835 157.1105 4.2805
0 1 7 30.835 398.8827 12.4762
0 2 7 30.835 636.8801 20.5439
0 3 7 30.835 884.568 28.9401
0 4 7 30.835 621.8436 20.0342
0 5 7 30.835 387.1535 12.0786
0 6 7 30.835 152.121 4.1114
0 0 8 26.4592 149.1525 4.1591
0 1 8 26.4592 398.1158 12.5985
0 2 8 26.4592 637.6403 20.718
0 3 8 26.4592 882.0185 29.002
0 4 8 26.4592 625.8266 20.3175
0 5 8 26.4592 386.2575 12.1966
0 6 8 26.4592 153.74 4.3146
0 0 9 25.7878 154.1353 4.3508
0 1 9 25.7878 398.3206 12.6282
0 2 9 25.7878 640.5652 20.8399
0 3 9 25.7878 882.298 29.0342
0 4 9 25.7878 621.9013 20.2072
0 5 9 25.7878 384.0584 12.1448
0 6 9 25.7878 148.7924 4.1696
1 0 0 29.9402 134.1288 3.5318
1 1 0 29.9402 344.0458 10.6476
1 2 0 29.9402 560.7886 17.9949
1 3 0 29.9402 778.6172 25.3789
1 4 0 29.9402 542.5449 17.3764
1 5 0 29.9402 334.265 10.3161
1 6 0 29.9402 135.2007 3.5682
1 0 1 26.057 130.6662 3.5461
1 1 1 26.057 343.4712 10.7598
1 2 1 26.057 559.8788 18.0957
1 3 1 26.057 776.9921 25.4554
1 4 1 26.057 540.9827 17.4551
1 5 1 26.057 328.6853 10.2586
1 6 1 26.057 125.9639 3.3867
1 0 2 28.6096 127.4285 3.3498
1 1 2 28.6096 342.7589 10.6491
1 2 2 28.6096 555.1827 17.8499
1 3 2 28.6096 774.2604 25.2763
1 4 2 28.6096 543.6674 17.4596
1 5 2 28.6096 329.9045 10.2134
1 6 2 28.6096 124.2723 3.2428
1 0 3 26.4165 126.0689 3.378
1 1 3 26.4165 340.7193 10.6543
1 2 3 26.4165 555.1018 17.9215
1 3 3 26.4165 772.931 25.3056
1 4 3 26.4165 540.463 17.4253
1 5 3 26.4165 329.2135 10.2643
1 6 3 26.4165 127.1252 3.4139
1 0 4 30.4236 133.8798 3.507
1 1 4 30.4236 338.309 10.4368
1 2 4 30.4236 559.4012 17.9314
1 3 4 30.4236 779.7684 25.4015
1 4 4 30.4236 542.728 17.3663
1 5 4 30.4236 328.117 10.0913
1 6 4 30.4236 126.5816 3.2596
1 0 5 27.3342 132.4027 3.5616
1 1 5 27.3342 338.8195 10.5588
1 2 5 27.3342 554.0568 17.855
1 3 5 27.3342 774.4682 25.3266
1 4 5 27.3342 545.1772 17.554
1 5 5 27.3342 325.3319 10.1016
1 6 5 27.3342 122.5303 3.227
1 0 6 24.9394 128.6923 3.517
1 1 6 24.9394 339.6591 10.6685
1 2 6 24.9394 558.8482 18.0986
1 3 6 24.9394 773.112 25.3618
1 4 6 24.9394 542.32 17.5383
1 5 6 24.9394 326.7678 10.2315
1 6 6 24.9394 127.9904 3.4933
1 0 7 24.929 127.9403 3.4919
1 1 7 24.929 338.4368 10.6274
1 2 7 24.929 554.2946 17.9446
1 3 7 24.929 773.4355 25.3731
1 4 7 24.929 538.67 17.4149
1 5 7 24.929 324.6409 10.1597
1 6 7 24.929 125.5681 3.4115
1 0 8 30.9357 132.8596 3.455
1 1 8 30.9357 342.7128 10.5687
1 2 8 30.9357 555.7735 17.7911
1 3 8 30.9357 779.6716 25.3809
1 4 8 30.9357 541.9269 17.3217
1 5 8 30.9357 330.474 10.1538
1 6 8 30.9357 124.3773 3.1675
1 0 9 28.623 121.3807 3.1443
1 1 9 28.623 335.2199 10.3931
1 2 9 28.623 556.0585 17.8792
1 3 9 28.623 770.2161 25.1387
1 4 9 28.623 538.4994 17.2839
1 5 9 28.623 327.1099 10.1182
1 6 9 28.623 124.7148 3.2573
2 0 0 26.1837 69.0103 1.4517
2 1 0 26.1837 200.4569 5.9076
2 2 0 26.1837 333.9436 10.4325
2 3 0 26.1837 474.7777 15.2066
2 4 0 26.1837 321.717 10.0181
2 5 0 26.1837 191.3471 5.5988
2 6 0 26.1837 67.1526 1.3888
2 0 1 26.7464 66.6408 1.3524
2 1 1 26.7464 198.7078 5.8292
2 2 1 26.7464 334.7411 10.4405
2 3 1 26.7464 473.9729 15.1602
2 4 1 26.7464 318.243 9.8812
2 5 1 26.7464 186.3482 5.4102
2 6 1 26.7464 64.2991 1.273
2 0 2 29.1653 67.5298 1.3005
2 1 2 29.1653 198.0557 5.7251
2 2 2 29.1653 332.9902 10.2991
2 3 2 29.1653 472.157 15.0167
2 4 2 29.1653 322.3762 9.9394
2 5 2 29.1653 194.7163 5.6119
2 6 2 29.1653 64.7087 1.2049
2 0 3 32.4543 68.9792 1.2381
2 1 3 32.4543 202.295 5.7573
2 2 3 32.4543 337.344 10.3352
2 3 3 32.4543 475.2345 15.0095
2 4 3 32.4543 327.0769 9.9872
2 5 3 32.4543 196.8145 5.5715
2 6 3 32.4543 68.3102 1.2155
2 0 4 34.0251 71.1274 1.2577
2 1 4 34.0251 207.0995 5.8669
2 2 4 34.0251 334.9651 10.2014
2 3 4 34.0251 476.5593 15.0012
2 4 4 34.0251 324.6132 9.8504
2 5 4 34.0251 198.2925 5.5684
2 6 4 34.0251 71.3074 1.2638
2 0 5 32.664 69.8752 1.2614
2 1 5 32.664 204.1615 5.8135
2 2 5 32.664 336.9805 10.3158
2 3 5 32.664 476.0976 15.0316
2 4 5 32.664 322.0042 9.8081
2 5 5 32.664 196.3051 5.5472
2 6 5 32.664 69.4302 1.2463
2 0 6 35.3871 69.6414 1.1612
2 1 6 35.3871 197.358 5.4905
2 2 6 35.3871 337.1908 10.2306
2 3 6 35.3871 472.6591 14.8228
2 4 6 35.3871 322.6173 9.7366
2 5 6 35.3871 194.8927 5.407
2 6 6 35.3871 69.7833 1.166
2 0 7 33.1846 71.2891 1.2917
2 1 7 33.1846 199.6344 5.6424
2 2 7 33.1846 334.1838 10.2034
2 3 7 33.1846 475.6117 14.9975
2 4 7 33.1846 322.9136 9.8213
2 5 7 33.1846 193.375 5.4302
2 6 7 33.1846 66.5566 1.1313
2 0 8 30.2048 71.5564 1.4018
2 1 8 30.2048 202.3121 5.8341
2 2 8 30.2048 339.3909 10.4809
2 3 8 30.2048 477.8896 15.1758
2 4 8 30.2048 328.2208 10.1022
2 5 8 30.2048 196.7928 5.6471
2 6 8 30.2048 67.8552 1.2763
2 0 9 29.9347 75.0136 1.5281
2 1 9 29.9347 201.3492 5.8107
2 2 9 29.9347 334.9007 10.3378
2 3 9 29.9347 477.4728 15.1708
2 4 9 29.9347 319.3402 9.8104
2 5 9 29.9347 194.6269 5.5828
2 6 9 29.9347 68.9001 1.3209
