#anche n0  mm 
#pos_y pos_z rep offset(mV) moyenne(mV) moyenne(N) 
0 0 0 25.8388 196.8511 0.6
0 0 1 26.3558 192.0655 0.5814
0 0 2 24.4212 189.0884 0.5778
0 0 3 26.6411 189.4955 0.5714
0 0 4 25.7231 189.8709 0.576
0 0 5 23.74 186.1632 0.5699
0 0 6 23.4199 187.6394 0.5762
0 0 7 22.569 187.6424 0.5792
0 0 8 26.6362 192.5245 0.5821
0 0 9 25.3194 190.6165 0.58
0 0 10 25.9084 190.4718 0.5774
0 0 11 26.1736 195.3664 0.5937
0 0 12 24.6513 190.0055 0.5802
0 0 13 29.671 192.2071 0.5703
0 0 14 26.581 191.7392 0.5795
0 0 15 30.3177 194.2857 0.5753
0 0 16 24.514 192.3151 0.5888
0 0 17 23.3866 191.3764 0.5894
0 0 18 26.9839 197.0312 0.5967
0 0 19 29.7278 193.8984 0.576
0 1 0 30.8832 439.2236 1.4328
0 1 1 28.6822 436.8303 1.4321
0 1 2 27.9287 437.6324 1.4376
0 1 3 30.0546 435.006 1.4209
0 1 4 24.0278 435.6365 1.4442
0 1 5 28.7408 431.2586 1.4123
0 1 6 28.7487 437.3809 1.4338
0 1 7 29.3359 435.1561 1.4239
0 1 8 29.1305 431.2491 1.4109
0 1 9 30.7425 429.0457 1.3976
0 1 10 31.2519 435.2626 1.4176
0 1 11 30.2405 435.1637 1.4208
0 1 12 31.89 435.1503 1.4149
0 1 13 29.0826 433.9439 1.4206
0 1 14 30.8209 432.6865 1.4101
0 1 15 29.234 433.8112 1.4196
0 1 16 30.2518 429.7613 1.4018
0 1 17 30.7416 430.5585 1.4029
0 1 18 28.9288 430.835 1.4102
0 1 19 25.49 432.642 1.4286
0 2 0 25.3899 673.5115 2.2741
0 2 1 28.6999 666.8685 2.2392
0 2 2 25.2461 666.0463 2.2484
0 2 3 22.6682 664.1304 2.2507
0 2 4 28.46 667.7956 2.2433
0 2 5 31.3724 660.6906 2.2081
0 2 6 24.4765 665.9499 2.2508
0 2 7 30.1645 659.0094 2.2065
0 2 8 29.8483 663.267 2.2225
0 2 9 29.6805 665.5239 2.231
0 2 10 27.59 664.5891 2.2351
0 2 11 29.8444 662.1085 2.2185
0 2 12 29.2843 664.4377 2.2286
0 2 13 32.0658 660.8936 2.2064
0 2 14 34.2051 664.6162 2.212
0 2 15 25.5022 662.6621 2.2356
0 2 16 26.7086 662.1055 2.2295
0 2 17 26.1837 663.4571 2.236
0 2 18 30.7193 660.069 2.2082
0 2 19 31.2909 660.5069 2.2078
0 3 0 33.3671 902.3154 3.0489
0 3 1 32.0371 897.329 3.0361
0 3 2 29.985 899.2065 3.0499
0 3 3 27.5271 893.6699 3.0391
0 3 4 27.9464 894.0504 3.039
0 3 5 28.1533 893.8289 3.0375
0 3 6 29.436 897.5823 3.0461
0 3 7 32.0829 896.2835 3.0323
0 3 8 32.8547 892.6499 3.0168
0 3 9 32.5806 890.6079 3.0106
0 3 10 35.7738 891.8046 3.0036
0 3 11 33.0607 892.4451 3.0154
0 3 12 30.9354 887.2396 3.0046
0 3 13 34.7441 888.5342 2.9958
0 3 14 29.2846 886.8245 3.0089
0 3 15 27.7798 888.9319 3.0216
0 3 16 32.7119 891.847 3.0145
0 3 17 32.028 892.8425 3.0204
0 3 18 32.8925 892.4354 3.0159
0 3 19 31.4423 888.9834 3.0089
1 0 0 35.8577 157.4126 0.4265
1 0 1 29.3542 156.5102 0.4462
1 0 2 31.2516 158.7884 0.4475
1 0 3 31.5101 157.9064 0.4435
1 0 4 36.8273 155.7335 0.4172
1 0 5 29.3243 155.591 0.443
1 0 6 32.4073 160.7987 0.4505
1 0 7 32.3496 159.8602 0.4474
1 0 8 33.8044 157.9055 0.4354
1 0 9 31.6666 160.2219 0.4511
1 0 10 35.1219 156.1098 0.4245
1 0 11 29.1693 156.7205 0.4475
1 0 12 33.4361 157.7102 0.436
1 0 13 27.9666 151.9303 0.435
1 0 14 25.0938 157.8387 0.4658
1 0 15 26.5844 154.1966 0.4478
1 0 16 23.423 154.3532 0.4594
1 0 17 25.027 155.634 0.4583
1 0 18 25.8974 155.1579 0.4535
1 0 19 26.1269 154.4777 0.4504
